algorithm,input_size,method,wall_time_ns,time_per_elem_ns,l1_misses,l1_miss_rate,l2_misses,l2_miss_rate,throughput_mops,theoretical_bound,bound_ratio
hash_partition,1024,siegel_k8,114250,111.57,16,0.015625,12,0.750000,8.96,516,0.0310
sequential_scan,1024,sequential,0,0.00,128,0.125000,128,1.000000,0.00,0,0.0000
hash_partition,4096,siegel_k8,272500,66.53,64,0.015625,42,0.656250,15.03,2052,0.0312
sequential_scan,4096,sequential,41,0.01,512,0.125000,512,1.000000,99902.44,0,0.0000
hash_partition,16384,siegel_k8,1087375,66.37,256,0.015625,158,0.617188,15.07,8196,0.0312
sequential_scan,16384,sequential,42,0.00,2048,0.125000,2048,1.000000,390095.24,0,0.0000
hash_partition,65536,siegel_k8,4498208,68.64,32965,0.503006,1024,0.031063,14.57,32772,1.0059
sequential_scan,65536,sequential,83,0.00,8192,0.125000,8192,1.000000,789590.36,0,0.0000
hash_partition,262144,siegel_k8,18088958,69.00,229237,0.874470,4096,0.017868,14.49,131076,1.7489
sequential_scan,262144,sequential,0,0.00,32768,0.125000,32768,1.000000,0.00,0,0.0000
hash_partition,1048576,siegel_k8,80848542,77.10,1015952,0.968887,16384,0.016127,12.97,524292,1.9378
sequential_scan,1048576,sequential,42,0.00,131072,0.125000,131072,1.000000,24966095.24,0,0.0000
